@timestamp,@version,__typename,_id,_index,_score,_type,accessibility_caption,comments_disabled,created_at,did_report_as_spam,dimensions.height,dimensions.width,display_url,edge_liked_by.count,edge_media_preview_like.count,edge_media_to_comment.count,fact_check_information,fact_check_overall_rating,gating_info,id,insta_description,is_restricted_pending,is_video,location,location.has_public_page,location.id,location.name,location.slug,media_preview,owner.id,owner.username,shortcode,taken_at_timestamp,text,thumbnail_src,viewer_has_liked
"Mar 20, 2020 @ 20:28:50.530",1,GraphImage,zDSi-XABCuLPJKLpVk1w,insta_data-2020.02.26-000001,,_doc,,false,0,false,612,612,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e15/11190273_1439122006384258_1963987455_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=kCmChBLMsR4AX_-QWxx&oh=d701d8cb60e5067e2dd870165b9841fa&oe=5EA0B7FF,0,20,0,,,,283971643117307420,,false,false,"{""slug"":""the-service-station"",""id"":""34825901"",""has_public_page"":true,""name"":""The Service Station""}",True,34825901,The Service Station,the-service-station,,1709768,henrystrange,Pw3rRySoYc,"1,348,072,079",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e15/11190273_1439122006384258_1963987455_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=kCmChBLMsR4AX_-QWxx&oh=d701d8cb60e5067e2dd870165b9841fa&oe=5EA0B7FF,false
"Mar 20, 2020 @ 20:28:50.529",1,GraphImage,szSi-XABCuLPJKLpVk1w,insta_data-2020.02.26-000001,,_doc,,false,0,false,612,612,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e15/11190905_1587073188211537_771924661_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=D5xTzhUr53wAX-Z5Ams&oh=554ccd45510364d25355f32108ba5ded&oe=5EA84F09,0,26,3,,,,283975581224830519,Crayon campers,false,false,"{""slug"":""the-service-station"",""id"":""34825901"",""has_public_page"":true,""name"":""The Service Station""}",True,34825901,The Service Station,the-service-station,,1709768,henrystrange,Pw4klbyoY3,"1,348,072,549",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e15/11190905_1587073188211537_771924661_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=D5xTzhUr53wAX-Z5Ams&oh=554ccd45510364d25355f32108ba5ded&oe=5EA84F09,false
"Mar 20, 2020 @ 20:28:48.355",1,GraphImage,azSi-XABCuLPJKLpTU3s,insta_data-2020.02.26-000001,,_doc,,false,0,false,612,612,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e15/11377682_565449583594732_411865273_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=q_qn-ANhMcwAX-TWL6K&oh=769d404f19db4625f5513073e97ca12d&oe=5EA09D02,0,18,1,,,,506182758776342262,"Howie, stopping by for some..",false,false,"{""slug"":""yung-ho-restaurant"",""id"":""11305981"",""has_public_page"":true,""name"":""Yung Ho Restaurant""}",True,11305981,Yung Ho Restaurant,yung-ho-restaurant,,1709768,henrystrange,cGUomISob2,"1,374,561,708",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e15/11377682_565449583594732_411865273_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=q_qn-ANhMcwAX-TWL6K&oh=769d404f19db4625f5513073e97ca12d&oe=5EA09D02,false
"Mar 20, 2020 @ 20:28:47.311",1,GraphImage,IjSi-XABCuLPJKLpSU3V,insta_data-2020.02.26-000001,,_doc,,false,0,false,640,640,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e15/1170053_182173678639899_56854770_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=4PlCrvyBaQAAX_Dj8VS&oh=cf5ebef0c0b8092e14e4b2f3d7155f0c&oe=5E9DD053,0,27,0,,,,587122812889236865,San Fernando Catherdral. #amazing #beautiful #church #historical #dayoff #sanantonio #texas #tourlife #lovelife,false,false,"{""slug"":""san-fernando-cathedral"",""id"":""752215"",""has_public_page"":true,""name"":""San Fernando Cathedral""}",True,752215,San Fernando Cathedral,san-fernando-cathedral,,1709768,henrystrange,gl4RZtyoWB,"1,384,210,515",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e15/1170053_182173678639899_56854770_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=4PlCrvyBaQAAX_Dj8VS&oh=cf5ebef0c0b8092e14e4b2f3d7155f0c&oe=5E9DD053,false
"Mar 20, 2020 @ 20:28:47.305",1,GraphImage,HzSi-XABCuLPJKLpSU3V,insta_data-2020.02.26-000001,,_doc,,false,0,false,640,640,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e15/1390053_179314532270479_156728643_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=EWDo7pNGmqwAX9ezopW&oh=bb55fffffd32218450083a90423cad5f&oe=5EA06711,0,31,0,,,,592110011078575212,Old Sac. There was a time for this town. #Sacramento #california #oldsac #trains #railroad #vintage #oldschool,false,false,"{""slug"":""old-sacramento-state-historic-park"",""id"":""24769"",""has_public_page"":true,""name"":""Old Sacramento State Historic Park""}",True,24769,Old Sacramento State Historic Park,old-sacramento-state-historic-park,,1709768,henrystrange,g3mOr-SoRs,"1,384,805,035",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e15/1390053_179314532270479_156728643_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=EWDo7pNGmqwAX9ezopW&oh=bb55fffffd32218450083a90423cad5f&oe=5EA06711,false
"Mar 20, 2020 @ 20:28:20.081",1,GraphImage,zTSh-XABCuLPJKLp30hc,insta_data-2020.02.26-000001,,_doc,,false,0,false,750,750,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/17493426_2105145006378494_3744094520032100352_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=CGalQQp0SOwAX_vVhut&oh=846ca4c7582c5d170d1153a157433e5a&oe=5E9ED955,0,14,0,,,,1489299009650969298,Surprise visit at work from one of my favorite people ☀️💫 #mygirl #minime #mademyday #cosmeticnurse #nurseinjector #nursesumi #labcoatlife,false,false,"{""slug"":""encinitas-california"",""id"":""216161580"",""has_public_page"":true,""name"":""Encinitas, California""}",True,216161580,"Encinitas, California",encinitas-california,ACoqoRdKM7pD7AD+tR+YI1yaarSR5kKnaxzk/wBKzNr9C7cSFI8/xH/JP5Uk091cIHVdka/dx1PbPqaLhllREX/low79u/uK1lkGw8EbeOmO3vTQnqzCgvWVgshyDxnuP8962M1zd3jzCV6GtpJTtH0FDEuxTtrYzuScMsXXsCew79+tX7870ZfQc/lmqenT7HMZ+64yT3Ddj7+4pLy7ADxqdxY8kcAf1JoH5mek+0xntGc/rk/pXSvOOGHIJBz6g+nt6+lc2ls2NzDCjAx3LHoP6n0Fa08qQ2+wHLHIGPXvj2HfH0psSfcoai4kmIGOPSp1kXA+lU4bR5MN0DH5c9/f6D1qRorhSQUY4OMhTQK/US2VtxcVNaWsjMZcZVGUYPcseo9xnPNOs/u1t2fECf7zH/0L/CmSZd4Flm2HKwQ8Mw/vH731Y8D2xSpbfbpfMAKWyAKueMgdh9T1P9adH80EG7nczk55yd3U+prelABUDgbulMREsSgluM9F9lHQCn7jT2qOkM//2Q==,5126721811,nurse_sumi,BSrDY8ClkrS,"1,491,758,298",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/17493426_2105145006378494_3744094520032100352_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=CGalQQp0SOwAX_vVhut&oh=e380a9ff24f3d8c949fbaca178315c60&oe=5EB34891,false
"Mar 20, 2020 @ 20:28:20.079",1,GraphImage,zDSh-XABCuLPJKLp30hc,insta_data-2020.02.26-000001,,_doc,,false,0,false,"1,080","1,080",https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/17882936_1474248199315212_1412974296841584640_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=GAdPvH-0sAAAX83Y_rP&oh=aa16e1ebc6557959555dbf4a9a4bd220&oe=5E9E3BB6,0,19,1,,,,1491045778151806222,What a bloody good treatment‼️ #microneedling #rejuvapen #skinrejuvenation #labcoatlife #cosmeticnurse #nursesumi,false,false,"{""slug"":""la-jolla"",""id"":""106562852713281"",""has_public_page"":true,""name"":""La Jolla""}",True,106562852713281,La Jolla,la-jolla,ACoqwipxnse9W7W4wm3uKv2DrLA9vLwvVW9G/wA/1FY8sZhKsp+8Mg+/QiptoVezNUxr/rXAb/ZP8/fiqUEvkXGV+7np7H/DtUQmc/P1I6/SlkRvMDH+LBpIpu50OqOHtwfQj9a5rNdS8Pm2xU9duR9RyK537M/pTYkXxH5i4UgYGfrUNwFaEOR86kKPQ/QDue/0q9bJjG3sMfj6fhTlt/KYyudz4JHovso/rQm7WFbqUoLaSPk4XcOQffsaS5s5EXfHgqvOAOQPXJ6j1HatGBgeHPPf2Pp6flTUlw+3ORnt29M/X+dK4+XS5LDeq8OACCRwe2ar7qY0LoMryvcen/1qXc3+z+tOVtLCjfW5fRRCAT0HFMuZUKHB56VdxnrWXdKBnAxS2GhM+b8g+UAe3NRb8lQR0PX1xSQDNQD7w+pqToa0fob6ou3FZ7KoJweKiQmragYFMwP/2Q==,5126721811,nurse_sumi,BSxQjw-lZUO,"1,491,966,529",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/17882936_1474248199315212_1412974296841584640_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=GAdPvH-0sAAAX83Y_rP&oh=0451f84484769d0f9099e062f8b2d3aa&oe=5EB289F0,false
"Mar 20, 2020 @ 20:28:20.078",1,GraphImage,uTSh-XABCuLPJKLp30hX,insta_data-2020.02.26-000001,,_doc,,false,0,false,"1,080","1,080",https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/17819038_2278478155710913_6308381675839553536_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=4uMf2UUinIAAX82SXdX&oh=6eb45256acd73c463c95099b47a06a6d&oe=5EB35EED,0,16,2,,,,1492470845482050985,Say goodbye to your little friend 👋🏼🦃 After 1 treatment/2 vials.  Recommend 2 more treatments for increased reduction #kybella #doublechin #byeforever #nursesumi,false,false,"{""slug"":""carlsbad-california"",""id"":""212907650"",""has_public_page"":true,""name"":""Carlsbad, California""}",True,212907650,"Carlsbad, California",carlsbad-california,ACoqlMqgnjJz1zRPhIi4+YdwSePpVU/M/tmtNrdHiZd2NwI6ZrC+qNraMxtPc+YeT933PcVtrIcY4+vUf/WrnbLO4kEqQO31rVhBkbn/AAzTqbiiroZqRKKO+7jd39aqxsdo5PQdz6Vf1ODFvu3A7SDjvzxj9f0rOj+6PoP5VpC9tSJb6Fzgk5GOaSaQwoXB57fXtUsyFTg8c1l3ckikxsMA8+uR2IPpWMVdmzdkJaOTIW6kjn8TWqAO3FY1pKsTEuCRjHHUc9ff6VssN4DxnKnjd6fUdv8AOKqabehMGktSte3DRpsODv4Oew9R75qvH9wfQfyqrdSu7bXx8hI4+vNWI/uD6D+VaRVkRJ3Z2EsSyjDDP86oTWAljMT/APAG9D/9fuK06RulD7k36HAtGVLK3BBwfqDU1ndvaPnqp6jsR/jWrfRr578DnHYegqkY19B+QqgJNRgWUC6h5RgNw9D6/TsfQ1DH9wfQfyrX01RtdcDb6duQc8VVRF2jgdB2oA//2Q==,5126721811,nurse_sumi,BS2UlOWlaWp,"1,492,136,410",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/17819038_2278478155710913_6308381675839553536_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=4uMf2UUinIAAX82SXdX&oh=efca7cb2837a8fa72f7e1d3c2a7e77f2&oe=5EA16857,false
"Mar 20, 2020 @ 20:28:20.075",1,GraphImage,yjSh-XABCuLPJKLp30hc,insta_data-2020.02.26-000001,,_doc,,false,0,false,"1,080","1,080",https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/18014008_1296269963761729_7758802714498170880_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=Vy2DNGCpv1wAX8B5g46&oh=6cc1ac2eed9ddd3380bdd780f0e7034e&oe=5E9D617F,0,25,2,,,,1501834451147349900,"Depressed temples 😔
Happy temples 😊
Miracles with filler #restoreyouryouth #templefiller #juvederm #restylane #bellafill #sculptra #radiesse #collagenstimulator #nursesumi",false,false,"{""slug"":""la-jolla-cove"",""id"":""213358893"",""has_public_page"":true,""name"":""La Jolla Cove""}",True,213358893,La Jolla Cove,la-jolla-cove,ACoq6aiseTV1R2TYSUYr1HOPQdail1QTI0aqVYo5BDDjAz25BoA3apXl8lpt3hjvJA247Y9SPWsWCKSRASzA+7tz+vFRtEz7UfLESMAMkn7in3+tTzIrlZrPq8cYyyOB/wAB/wDiq00beoYdCAfzrDmt1MTZQqQpOcHt61swf6tf90fyoTuDVjnkjH2iViersOPTNE0SRtvTukg/8dPWiO6aKeZV4/eE/Xnp0P8Ak1PPIbh1jboyyc+mVP8An8Kj7Rf2QtZItig5J28kHuKq3Mm11aPJxIefT5Fohi8o7QMgdMn/ADmr4szKm3GMsST+Awf0xSW7RT2TKrTy+S2OcggDOc5rfg/1a/7o/lVCLT9oIbuK0lyAM9cVcfMzk09jImsXaQsowCSeMdz1q1DalcbucghvxH+elX6KfKr3FzO1iIQoMcDjpUgGKWiqJCiiigD/2Q==,5126721811,nurse_sumi,BTXlnnsFN-M,"1,493,252,639",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/18014008_1296269963761729_7758802714498170880_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=Vy2DNGCpv1wAX8B5g46&oh=9c1aa34a8094d37f295c88f59a2c427d&oe=5EA06345,false
"Mar 20, 2020 @ 20:28:20.074",1,GraphImage,tzSh-XABCuLPJKLp30hX,insta_data-2020.02.26-000001,,_doc,,false,0,false,750,750,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/18645686_640832086111967_7207202718962679808_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=E_MwiFX7KtQAX9ftXUk&oh=6518172fee9ca05a2df8fae19846b5ad&oe=5EA04E8B,0,60,10,,,,1522283692797866599,"👉🏼 official work pic 👈🏼
#aesthetics #skinsolutions #skinrejuvenation #labcoatlife #cvfps #nursesumi",false,false,"{""slug"":""san-diego-california"",""id"":""212983635"",""has_public_page"":true,""name"":""San Diego, California""}",True,212983635,"San Diego, California",san-diego-california,ACoq6asmSeQMQGPBPGB/hWtXIs5YzMWbKO4GDjgZxQBek1SQI21WbGRvAG0H16c4NFnezSKCzZOfQf4U+2+WEKrDBUYyPUc/XNZ9gdrMv91uP1rGTdjZKx1EDF41Y8kgE1LUFt/ql/3RU9aoxCuYjsJJjJghVeRju68ZYEY9en+NdPVCRxaQM+fuBj+JJI/U0wKPkLbRMMkrGDz34/lk9u2azdMs5pAZR909ieSfatmC0Z7IRsSWkXJJOeW5H5cU7TFaOLy3G1kO0/gBz+P61HL0fUvm6roXrf8A1a/QVNSClqyArC1tZHiCRgtl/mCgk9OM47Z/Wt2igCIEAAAjgVFM4jUuo3EdAOpNWaKAEU5APqKdRRQB/9k=,5126721811,nurse_sumi,BUgPPQEljJn,"1,495,690,379",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/18645686_640832086111967_7207202718962679808_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=E_MwiFX7KtQAX9ftXUk&oh=5110258b8a72fe87b7021026d7afce6a&oe=5EA4BA6E,false
"Mar 20, 2020 @ 20:28:20.073",1,GraphImage,yTSh-XABCuLPJKLp30hc,insta_data-2020.02.26-000001,,_doc,,false,0,false,"1,080","1,080",https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/18812025_836590826479537_1350228054462431232_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=uHoA7M8oyCAAX8GQWda&oh=524c38500c02fefd5d1b66f5530066a1&oe=5E9E4136,0,56,5,,,,1528053752946555690,Thanks for your support tonight! #skinbetter #zoskinhealth #zomedical #intraceuticals #skinmedica #allergan #sciton #colorscience #cvfps #labcoatlife #nursesumi,false,false,"{""slug"":""san-diego-california"",""id"":""212983635"",""has_public_page"":true,""name"":""San Diego, California""}",True,212983635,"San Diego, California",san-diego-california,ACoq6U8A1kNdyf3gvOM4+vritZuh+lcfcyOvOc4Y/TkHj8Aefc1LV2UtjYa8kB++uM4HA59/z4/GnG+ZQSSTg84A49T9B3xWHG6sEUkkLG+cY4Jzx+Q7+1TWsYuZWL7mRTx9STgn/OMmnbzHudNbuXBJOcNx9MCrFVLNWVSr9Q2P0GD+VW6ESxD0rkry2fIjZ1PJIAViee5wM/8A6uldbXMXUhtp3LjkgbSM9OmBjp/9ajYEUo7byTkyoN4I5DHg8Z4BxnqM/Wr1lA1pISHV1ZSP4seoJO3rx0qpDhVfeDuK9OOmPcH6cVdtZQ8flseQeB6k9MADnseT+lLmKUTokcOMryKfUFsMRj8c9uc8/rU9UQFYF6rJKZyCwxtAHOBglifpjPFb9JQPY5A3KxYcfPuGGHr6HPbn+daekxpLBn+IMQfb0/Q1uYopJJBcbGNq4HAHA+lPoopiP//Z,5126721811,nurse_sumi,BU0vMrWFPsq,"1,496,378,224",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/18812025_836590826479537_1350228054462431232_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=uHoA7M8oyCAAX8GQWda&oh=f83faaeff65a3dcd98d36031b15f0c0f&oe=5E9D47D1,false
"Mar 20, 2020 @ 20:28:20.064",1,GraphImage,xDSh-XABCuLPJKLp30hc,insta_data-2020.02.26-000001,,_doc,,false,0,false,750,750,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/20969181_1998013167102564_6509452794594852864_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=wOeAvvNAaKgAX8Z7kaF&oh=a133ae8501a825d69d77ba418d7b53b8&oe=5E9F6B23,0,29,2,,,,1585827600916177312,Trippy little place in the middle of nowhere 👀✌🏼#salvationmountain #latexonly #sidetrip,false,false,"{""slug"":""salvation-mountain"",""id"":""213885570"",""has_public_page"":true,""name"":""Salvation Mountain""}",True,213885570,Salvation Mountain,salvation-mountain,ACoqv6km5l+h/pWeITnHetTUZWiUMOn+cfrUFq5dd/JLdec9Dj/PPStVOysYuF3dsr/Z5AOnXqM/5/8Ar0827L9PWrqn06e1OjkDlgDnacEe+M80udlOmivbxFZFJGOf6VrVUUHeM4654q3Ut3BLl0RBMueOxBBHYiqyQLGNqjAHQZNWZiQRwTn06D61DIxyEztY8jjOQDkg+mRxRcqwAbeO/wCv+OKbEi/NJHg+YckjnJHH+cVWmnCqZF+bJC8ptxnpgkfN9KkZ9iKzDDEDgevfGKAsWox82atVSgdt3z5PIAP5/wCcmrtIBkgJHy4zg4z0z2z7VniKctvdE3d8SHHbsV9vWtKikUZM9lNcZdyA3AVQxwFzz2xk+uOCBiq1zp93dEBjGiqMYBJ/E8cn8q36KAK9tA0KhWbcAABxjH49/wAas0lFAj//2Q==,5126721811,nurse_sumi,BYB_c0LnmGg,"1,503,265,403",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/20969181_1998013167102564_6509452794594852864_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=wOeAvvNAaKgAX8Z7kaF&oh=ddcae20ab95c2f4f931498deeaf084e2&oe=5E9DF099,false
"Mar 20, 2020 @ 20:28:20.058",1,GraphImage,rzSh-XABCuLPJKLp30hX,insta_data-2020.02.26-000001,,_doc,,false,0,false,"1,080","1,080",https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/21827095_1992343630998248_7008092239893102592_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=gCOMOl7K6rYAX9ppkH6&oh=858c5f0100ad265bfc3399ddb0ab8929&oe=5EA04554,0,39,6,,,,1606013888973661625,Brow journey ~~ Thank you to my brow saviour Kristl @kineskinja_beauty from @brow_lounge for MICROBLADING away my rainbow brows 🌈 🌈!! Natural looking strokes of semi-permanent ink that won't change color & lasts 1-2 years ✍🏻 #trusttheprocess #browsaviour #browlounge #browsmatter #microblading #kristlisthemaster,false,false,"{""slug"":""brow-lounge"",""id"":""13284206"",""has_public_page"":true,""name"":""Brow Lounge""}",True,13284206,Brow Lounge,brow-lounge,ACoq11mcDk5x64H49P5U+B3+YscjdxkcgYHHGO/QntWYdQs4yRl+SQep784yePwq5bXkBQmPeVyeuc549TmkrlO3Qu729vyao9xQnJyM9z+gHpQJ1B6N+P8A9c00xwykOcEnofp/P+VDEhzOTwuf0GKzxJMAPmJq9JHE+d5z+fb6UxJLfaNrDGBj6UtRuxUeKKbcpUYGcnAwOcfn+dU2QWa7YWyMsxBGSMgD/wCuM+taMNqFJYSMQSTgj/P+eaU2SS52sQQeTjuee/Xr15FC3G9gcmaM7eVdeCeCOOQfb37VXjkEKgFlyoAAPOeOx9PpWiLXEflhu2M4/wDr1WSSCP8AdHJZPlJx3HpTYkRSyleWIXjnPP5UxYMgHHUVpBY355pm+McfN+VSht3IFWQbuSM564PfqPQfWp4BIq+vP8R5HTuKu0U7CbuVY42jztGdx3HLE8nrismQATOxDZz1HT/DFdBRTsK5kBm+Q4Yq45C/171eC8VZoosFz//Z,5126721811,nurse_sumi,BZJtR98nmW5,"1,505,671,796",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/21827095_1992343630998248_7008092239893102592_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=gCOMOl7K6rYAX9ppkH6&oh=5eaaea2fce81122b13b0b6498f11c674&oe=5EA079EA,false
"Mar 20, 2020 @ 20:28:20.057",1,GraphVideo,wTSh-XABCuLPJKLp30hc,insta_data-2020.02.26-000001,,_doc,,false,0,false,750,750,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e15/21980709_1987830071436164_2188280485782749184_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=5JNzwrVKikgAX8U95Zg&oh=d3c1f867dfe4befb1d58ee208ce52787&oe=5E777E55,0,56,0,,,,1610557391934138677,Such a lovely visit with my beautiful friend and new blogger @laurenerro 🙌🏼🗣We discussed treating her crow's feet for the first time with Botox and made a plan to treat her pigment issues #botox #allergan #zomedical #melamix #microneedling #foreveryoungbbl #halobysciton #blogger #bloglife #laurenerrobeauty #nursesumi #labcoatlife,false,true,"{""slug"":""san-diego-california"",""id"":""212983635"",""has_public_page"":true,""name"":""San Diego, California""}",True,212983635,"San Diego, California",san-diego-california,ACoq3Eu0d9nfJHbqP15qK/uGhUBCFZgeT7Y4Huc8Z4FUHkA3FsbVYn7p6AnOTng59OfamyyyTlQxClG6gdVZSc8+4/pSWqfkU1ZpEVrfyuGDNtK4O4jPfkEf14retpvOjV+hPX6g4OPbI4rl08wtKU5xtUH1Oe5rWsrnybESt8xXdkdyxc8fUk0IGSS3zFmEYDKnU564649SPyq3FMHRWB+8AfzFc3DjewYZO7fyenJOMfjz15FbkKgopGMFR/KknqNqyIbq0DtvRgoz8wIyPqPeoXhLgguGPbII/Prz6Vcuhs6d+fxrISYqcdTjv3PfP/1u2a0SurdDCdTlZYEfkwsmWJc5ZtvH4YP0qe3i2xbWJOXMnI79v1wfrTo2+UnsMVTmnJbOflAP59s1Ki7tBKokk+5NHYRE5LEt69K1Y48KB6AfyrItJicZ578/yrdA46Ucti4z51cz7mRM4kzgkjI7Y9fassxB5MRHI5x9B3+hrakiRn+ZQfqAaa8EZIyq/wDfI/wrRe7G5LipOzKcY44O5UzuxyCfQepA/wAOtVJIPl8xCGTqcenf6fQ1sCJFGAoA9gKhlt4v7i8/7I/wrJSdy3TjZLsUbV40ILHrwPSt1TkA+1U4oIwMBVA+gq6qgAAAAAVrJX1JSS0R/9k=,5126721811,nurse_sumi,BZZ2Wo0nSk1,"1,506,213,424",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e15/s640x640/21980709_1987830071436164_2188280485782749184_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=5JNzwrVKikgAX8U95Zg&oh=217a8bfc47d965110751f2c884f86a1b&oe=5E777643,false
"Mar 20, 2020 @ 20:28:20.049",1,GraphImage,vTSh-XABCuLPJKLp30hc,insta_data-2020.02.26-000001,,_doc,,false,0,false,"1,080","1,080",https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/23667911_131947564159887_8764448489150087168_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=ZovIrApUpkkAX-1chy7&oh=2eb8719af8ba16bc3f720a6cb79c2aec&oe=5EA983A0,0,38,6,,,,1651676767542088246,Happy Bday Kitty Kat! 😻Brows hot off the press thanks to @kineskinja_beauty @brow_lounge #browlove #browlounge #lavalencia #pinkhotel #lajolla #weddingcrashers #blondeasian #happykat @kitkatts84,false,false,"{""slug"":""la-valencia-hotel"",""id"":""694289984091902"",""has_public_page"":true,""name"":""La Valencia Hotel""}",True,694289984091902,La Valencia Hotel,la-valencia-hotel,ACoqZcTMrnDNwTnk461o2M3UZyx5GT/nmucnlJcj/aP86uW0jKdylenQ+h7VCZbV9jZnmbecHp+WKo3YkL7lJAYAnB46Y/Dp0oZyz8+gOarXE5SbYOuOo9MAnNTq2VokiQpNGMhm7H73TP8A9btVxVlUAEsSBjqaw2dWwUJJODt44Oepx6VqRklFJByQM/XFUkSMk0iQOWJU5JI6+ufSiC2dCwBXIODnP+FXJNXQBiQNykhRyc498DFRx3O7e64y7A4PH17VWzQt7h5TRnc/zf7o6Y+pFVZtNe7kMsTBQcdcg9B6A1oyyqQQOvPf6e3vUUl75K/LjJYce20UnZO6DW1mUV0aVf4k/X/CtGO1kVQD2AH6VeWVSAfUZqQOMUXCxxUw2MxJySxwPxNTId455zyPXjrWhJDHuPyr1PYetSCFMr8q9D2FDBdUY7N5Z44PTpz096ZLLlh9Af8Ax0VtzRIQMqD+Ap4t4iBlF6D+Een0o3DbQzI75ggX06VoxSkop56Dv7U8W0X9xP8Avkf4VdSJAo+UdB2FOwrn/9k=,5126721811,nurse_sumi,Bbr70TlHJI2,"1,511,115,235",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/23667911_131947564159887_8764448489150087168_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=ZovIrApUpkkAX-1chy7&oh=426b7d15fd1234a276ae2a26d09d1cd6&oe=5EA12245,false
